date,symbol,marketcapname,sector
24-03-2025,FINCABLES,Midcap,Industrials
24-03-2025,ALKYLAMINE,Midcap,Chemicals
24-03-2025,SANGAMIND,Smallcap,Textiles
24-03-2025,GUJALKALI,Smallcap,Chemicals
24-03-2025,JBMA,Midcap,Auto
24-03-2025,SHARDAMOTR,Midcap,Auto
25-03-2025,BLUEDART,Midcap,Transportation
25-03-2025,SALASAR,Smallcap,Metals & Mining
27-03-2025,ELECTHERM,Smallcap,Metals & Mining
27-03-2025,SHOPERSTOP,Midcap,Consumer Discretionary
27-03-2025,CREATIVE,Smallcap,I.T
28-03-2025,PUNJABCHEM,Smallcap,Chemicals
28-03-2025,NITCO,Smallcap,Building Materials
01-04-2025,HBLENGINE,Largecap,Auto
01-04-2025,ATULAUTO,Smallcap,Auto
02-04-2025,HSCL,Largecap,Chemicals
02-04-2025,BBTC,Midcap,Auto
02-04-2025,HESTERBIO,Smallcap,Healthcare
02-04-2025,VMART,Midcap,Consumer Discretionary
02-04-2025,DPABHUSHAN,Smallcap,Consumer Discretionary
03-04-2025,VTL,Midcap,Textiles
03-04-2025,ALEMBICLTD,Smallcap,Realty
03-04-2025,AUROPHARMA,Largecap,Healthcare
03-04-2025,FAZE3Q,Smallcap,Textiles
03-04-2025,GOKEX,Midcap,Consumer Discretionary
03-04-2025,TEJASNET,Midcap,Telecom
09-04-2025,JYOTHYLAB,Midcap,FMCG
15-04-2025,INOXGREEN,Midcap,Miscellaneous
15-04-2025,SRM,Smallcap,Realty
15-04-2025,SAILIFE,Midcap,Healthcare
15-04-2025,INTELLECT,Midcap,I.T
15-04-2025,SHK,Smallcap,Chemicals
15-04-2025,FINOPB,Smallcap,Bank
16-04-2025,RANEHOLDIN,Smallcap,Financials
16-04-2025,CUPID,Midcap,FMCG
16-04-2025,RML,Smallcap,Auto
16-04-2025,MAXIND,Smallcap,Financials
17-04-2025,FUSION,Smallcap,Financials
21-04-2025,MUTHOOTMF,Smallcap,Financials
21-04-2025,GNA,Smallcap,Auto
21-04-2025,BSHSL,Smallcap,FMCG
22-04-2025,BANCOINDIA,Midcap,Auto
22-04-2025,TI,Midcap,FMCG
22-04-2025,RAJRATAN,Smallcap,Metals & Mining
22-04-2025,ALOKINDS,Midcap,Textiles
23-04-2025,IZMO,Smallcap,I.T
24-04-2025,MMTC,Midcap,Services
24-04-2025,NATCOPHARM,Midcap,Healthcare
24-04-2025,KIOCL,Largecap,Metals & Mining
24-04-2025,NEWGEN,Midcap,I.T
25-04-2025,BUTTERFLY,Smallcap,Consumer Discretionary
30-04-2025,RRKABEL,Midcap,Industrials
30-04-2025,SONATSOFTW,Midcap,I.T
02-05-2025,CRISIL,Largecap,Financials
05-05-2025,NETWEB,Midcap,I.T
05-05-2025,DLINKINDIA,Smallcap,Services
06-05-2025,UNIECOM,Smallcap,I.T
06-05-2025,BAJAJCON,Smallcap,FMCG
06-05-2025,TATVA,Smallcap,Chemicals
07-05-2025,ENDURANCE,Largecap,Auto
08-05-2025,NRBBEARING,Smallcap,Industrials
08-05-2025,SHRIPISTON,Midcap,Auto
09-05-2025,IDEAFORGE,Smallcap,Aerospace & Defence
09-05-2025,CERA,Midcap,Building Materials
09-05-2025,BORORENEW,Midcap,Building Materials
09-05-2025,NDRAUTO,Smallcap,Auto
12-05-2025,CENTRUM,Smallcap,Financials
12-05-2025,IFGLEXPOR,Smallcap,Building Materials
13-05-2025,TANLA,Midcap,I.T
13-05-2025,INFOBEAN,Smallcap,I.T
14-05-2025,TEGA,Midcap,Industrials
15-05-2025,IFBAGRO,Smallcap,FMCG
15-05-2025,KEC,Largecap,Realty
15-05-2025,KIRLOSENG,Midcap,Industrials
16-05-2025,JUBLPHARMA,Midcap,Healthcare
16-05-2025,CONCOR,Largecap,Transportation
20-05-2025,HNDFDS,Midcap,FMCG
22-05-2025,RELAXO,Midcap,Consumer Discretionary
23-05-2025,SEAMECLTD,Smallcap,Miscellaneous
26-05-2025,ESTER,Smallcap,Industrials
30-05-2025,AWL,Largecap,FMCG
30-05-2025,KALAMANDIR,Smallcap,Consumer Discretionary
30-05-2025,ETERNAL,Largecap,I.T
02-06-2025,ASTRAZEN,Largecap,Healthcare
04-06-2025,QUICKHEAL,Smallcap,I.T
06-06-2025,RKFORGE,Midcap,Industrials
06-06-2025,HUBTOWN,Smallcap,Realty
06-06-2025,ARVSMART,Smallcap,Realty
06-06-2025,WEALTH,Smallcap,Financials
06-06-2025,ROUTE,Smallcap,I.T
09-06-2025,BANARISUG,Smallcap,FMCG
09-06-2025,PRAJIND,Midcap,Industrials
09-06-2025,MOTISONS,Smallcap,Consumer Discretionary
10-06-2025,JINDALSAW,Midcap,Industrials
10-06-2025,CEIGALL,Smallcap,Realty
12-06-2025,INNOVACAP,Smallcap,Healthcare
13-06-2025,JUBLINGREA,Midcap,Chemicals
16-06-2025,MATRIMONY,Smallcap,Miscellaneous
17-06-2025,HAPPSTMNDS,Midcap,I.T
18-06-2025,JPOLYINVST,Smallcap,Financials
23-06-2025,MRPL,Largecap,Energy
23-06-2025,CHENNPETRO,Midcap,Energy
23-06-2025,IRMENERGY,Smallcap,Energy
23-06-2025,BOROSCI,Smallcap,Building Materials
24-06-2025,SWANCORP,Midcap,Textiles
24-06-2025,GARFIBRES,Midcap,Textiles
25-06-2025,BBL,Smallcap,Industrials
25-06-2025,WELSPUNLIV,Midcap,Textiles
25-06-2025,AKUMS,Midcap,Healthcare
25-06-2025,STYLEBAAZA,Smallcap,Consumer Discretionary
26-06-2025,FIRSTCRY,Midcap,Consumer Discretionary
27-06-2025,ASALCBR,Smallcap,FMCG
27-06-2025,ATGL,Largecap,Energy
30-06-2025,SANOFICONR,Midcap,Healthcare
01-07-2025,BLUEDART,Midcap,Transportation
01-07-2025,CEIGALL,Smallcap,Realty
01-07-2025,OLECTRA,Midcap,Auto
02-07-2025,VSTTILLERS,Smallcap,Auto
04-07-2025,VENTIVE,Midcap,Services
07-07-2025,SWARAJENG,Smallcap,Industrials
07-07-2025,HNDFDS,Midcap,FMCG
07-07-2025,SENCO,Midcap,Consumer Discretionary
07-07-2025,GANESHHOU,Midcap,Realty
07-07-2025,GODREJCP,Largecap,FMCG
07-07-2025,JYOTHYLAB,Midcap,FMCG
08-07-2025,MSPL,Smallcap,Metals & Mining
08-07-2025,WEL,Smallcap,Consumer Discretionary
09-07-2025,RELIGARE,Midcap,Financials
09-07-2025,SAMMAANCAP,Midcap,Financials
10-07-2025,ORIENTHOT,Smallcap,Services
10-07-2025,CAMPUS,Midcap,Consumer Discretionary
11-07-2025,SARDAEN,Midcap,Metals & Mining
11-07-2025,GLOBUSSPR,Smallcap,FMCG
14-07-2025,DDEVPLSTIK,Smallcap,Chemicals
15-07-2025,ORIENTHOT,Smallcap,Services
16-07-2025,SHREDIGCEM,Smallcap,Building Materials
16-07-2025,BIKAJI,Midcap,FMCG
16-07-2025,SIMPLEXINF,Smallcap,Realty
16-07-2025,GREENPLY,Smallcap,Building Materials
17-07-2025,YATRA,Smallcap,I.T
17-07-2025,TINNARUBR,Smallcap,FMCG
17-07-2025,RADHIKAJWE,Smallcap,Consumer Discretionary
18-07-2025,CAPITALSFB,Smallcap,Bank
18-07-2025,ORISSAMINE,Smallcap,Metals & Mining
22-07-2025,RACLGEAR,Smallcap,Auto
24-07-2025,JBMA,Midcap,Auto
24-07-2025,GRAVITA,Midcap,Metals & Mining
25-07-2025,AJMERA,Smallcap,Realty
